symbol,date,period,Revenue,OtherRevenueTotal,TotalRevenue,CostofRevenueTotal,GrossProfit,SellingGeneralAdminExpensesTotal,ResearchDevelopment,DepreciationAmortization,InterestExpenseIncomeNetOperating,UnusualExpenseIncome,OtherOperatingExpensesTotal,TotalOperatingExpense,OperatingIncome,InterestIncomeExpenseNetNonOperating,GainLossonSaleofAssets,OtherNet,IncomeBeforeTax,IncomeAfterTax,MinorityInterest,EquityInAffiliates,NetIncomeBeforeExtraItems,AccountingChange,DiscontinuedOperations,ExtraordinaryItem,NetIncome,PreferredDividends,IncomeAvailabletoCommonExclExtraItems,IncomeAvailabletoCommonInclExtraItems,BasicWeightedAverageShares,BasicEPSExcludingExtraordinaryItems,BasicEPSIncludingExtraordinaryItems,DilutionAdjustment,DilutedWeightedAverageShares,DilutedEPSExcludingExtraordinaryItems,DilutedEPSIncludingExtraordinaryItems,DividendsperShareCommonStockPrimaryIssue,GrossDividendsCommonStock,NetIncomeafterStockBasedCompExpense,BasicEPSafterStockBasedCompExpense,DilutedEPSafterStockBasedCompExpense,DepreciationSupplemental,TotalSpecialItems,NormalizedIncomeBeforeTaxes,EffectofSpecialItemsonIncomeTaxes,IncomeTaxesExImpactofSpecialItems,NormalizedIncomeAfterTaxes,NormalizedIncomeAvailtoCommon,BasicNormalizedEPS,DilutedNormalizedEPS
BG,2016-03-31,3 months ending,8916.00,NA,8916.00,8296.00,620.00,314.00,NA,NA,NA,NA,NA,8610.00,306.00,NA,NA,-5.00,275.00,241.00,3.00,NA,244.00,NA,NA,NA,235.00,NA,231.00,222.00,NA,NA,NA,0.00,149.21,1.55,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55
BG,2015-12-31,3 months ending,11105.00,NA,11105.00,10402.00,703.00,385.00,NA,NA,NA,13.00,NA,10800.00,305.00,NA,NA,-12.00,230.00,204.00,0.00,NA,204.00,NA,NA,NA,203.00,NA,189.00,188.00,NA,NA,NA,NA,150.87,1.25,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33
BG,2015-09-30,3 months ending,10762.00,NA,10762.00,10017.00,745.00,358.00,NA,NA,NA,NA,NA,10375.00,387.00,NA,NA,2.00,353.00,213.00,5.00,NA,218.00,NA,NA,NA,239.00,NA,208.00,229.00,NA,NA,NA,NA,151.79,1.37,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37
BG,2015-12-31,12 months ending,43455.00,NA,43455.00,40762.00,2693.00,1435.00,NA,NA,NA,13.00,NA,42210.00,1245.00,NA,NA,-16.00,1051.00,755.00,1.00,NA,756.00,NA,NA,NA,791.00,NA,703.00,738.00,NA,NA,NA,0.00,152.24,4.62,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68
BG,2014-12-31,12 months ending,57161.00,NA,57161.00,54540.00,2621.00,1691.00,NA,NA,NA,0.00,NA,56231.00,930.00,NA,NA,-330.00,734.00,485.00,-2.00,NA,483.00,NA,NA,NA,515.00,NA,435.00,467.00,NA,NA,NA,0.00,147.23,2.95,NA,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95
BG,2013-12-31,12 months ending,61347.00,NA,61347.00,58587.00,2760.00,1559.00,NA,NA,NA,0.00,NA,60146.00,1201.00,NA,NA,51.00,1014.00,110.00,99.00,NA,209.00,NA,NA,NA,306.00,NA,133.00,230.00,NA,NA,NA,0.00,148.26,0.90,NA,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90
BG,2012-12-31,12 months ending,60991.00,NA,60991.00,58418.00,2573.00,1563.00,NA,NA,NA,514.00,NA,60495.00,496.00,NA,NA,-93.00,372.00,378.00,28.00,NA,406.00,NA,NA,NA,64.00,NA,370.00,28.00,NA,NA,NA,NA,147.14,2.51,NA,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79
BGC,2016-09-30,13 weeks ending,924.50,NA,924.50,821.60,102.90,86.10,NA,NA,NA,12.10,NA,919.80,4.70,NA,NA,-2.10,-19.70,-14.00,-0.60,0.30,-14.30,NA,NA,NA,-14.30,NA,-14.30,-14.30,NA,NA,NA,NA,49.60,-0.29,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13
BGC,2016-07-01,26 weeks ending,2023.90,NA,2023.90,1793.80,230.10,151.90,NA,NA,NA,4.40,NA,1950.10,73.80,NA,NA,6.80,36.90,23.50,1.20,0.40,25.10,NA,NA,NA,25.10,NA,25.10,25.10,NA,NA,NA,NA,50.65,0.50,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55
BGC,2016-04-01,13 weeks ending,974.00,NA,974.00,867.90,106.10,88.90,NA,NA,NA,1.90,NA,958.70,15.30,NA,NA,-1.40,-7.30,-8.10,-0.30,0.10,-8.30,NA,NA,NA,-4.70,NA,-8.30,-4.70,NA,NA,NA,NA,49.10,-0.17,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14
