"market","symbol","name","ipoyear","sector","industry","quote"
"NYSE","GPC","Genuine Parts Company","n/a","Capital Goods","Automotive Aftermarket","http://www.nasdaq.com/symbol/gpc"
"NYSE","GPE^A","Georgia Power Company","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/gpe^a"
"NYSE","GPI","Group 1 Automotive, Inc.","1997","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/gpi"
"NASDAQ","GPIA","GP Investments Acquisition Corp.","2015","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gpia"
"NASDAQ","GPIAU","GP Investments Acquisition Corp.","2015","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gpiau"
"NASDAQ","GPIAW","GP Investments Acquisition Corp.","2015","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gpiaw"
"NASDAQ","GPIC","Gaming Partners International Corporation","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/gpic"
"NYSE","GPK","Graphic Packaging Holding Company","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/gpk"
"NYSE","GPM","Guggenheim Enhanced Equity Income Fund","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gpm"
"NYSE","GPN","Global Payments Inc.","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/gpn"
"NASDAQ","GPOR","Gulfport Energy Corporation","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gpor"
"NASDAQ","GPP","Green Plains Partners LP","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gpp"
"NASDAQ","GPRE","Green Plains, Inc.","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gpre"
"NYSE","GPRK","Geopark Ltd","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gprk"
"NASDAQ","GPRO","GoPro, Inc.","2014","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gpro"
"NYSE","GPS","Gap, Inc. (The)","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/gps"
"NYSE","GPT","Gramercy Property Trust","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/gpt"
"NYSE","GPT^A","Gramercy Property Trust Inc.","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gpt^a"
"NYSE","GPX","GP Strategies Corporation","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/gpx"
"NYSE","GRA","W.R. Grace & Co.","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gra"
"NYSE","GRAM","Grana y Montero S.A.A.","2013","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/gram"
"NASDAQ","GRBK","Green Brick Partners, Inc.","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/grbk"
"NASDAQ","GRFS","Grifols, S.A.","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/grfs"
"NASDAQ","GRID","First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grid"
"NASDAQ","GRIF","Griffin Industrial Realty, Inc.","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/grif"
"NASDAQ","GRMN","Garmin Ltd.","2000","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/grmn"
"NYSE","GRO","Agria Corporation","2007","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/gro"
"NASDAQ","GROW","U.S. Global Investors, Inc.","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/grow"
"NYSE","GRP.U","Granite Real Estate Inc.","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grp.u"
"NASDAQ","GRPN","Groupon, Inc.","2011","Technology","Advertising","http://www.nasdaq.com/symbol/grpn"
"NYSE","GRR","Asia Tigers Fund, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grr"
"NASDAQ","GRSH","Gores Holdings, Inc.","2015","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/grsh"
"NASDAQ","GRSHU","Gores Holdings, Inc.","2015","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/grshu"
"NASDAQ","GRSHW","Gores Holdings, Inc.","2015","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/grshw"
"NYSE","GRUB","GrubHub Inc.","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grub"
"NASDAQ","GRVY","GRAVITY Co., Ltd.","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grvy"
"NYSE","GRX","The Gabelli Healthcare & Wellness Trust","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grx"
"NYSE","GRX^A","The Gabelli Healthcare & Wellness Trust","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grx^a"
"NYSE","GRX^B","The Gabelli Healthcare & Wellness Trust","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grx^b"
"NYSE","GS","Goldman Sachs Group, Inc. (The)","1999","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gs"
"NASDAQ","GSBC","Great Southern Bancorp, Inc.","1989","Finance","Major Banks","http://www.nasdaq.com/symbol/gsbc"
"NYSE","GSBD","Goldman Sachs BDC, Inc.","2015","n/a","n/a","http://www.nasdaq.com/symbol/gsbd"
"NYSE","GSH","Guangshen Railway Company Limited","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gsh"
"NASDAQ","GSIT","GSI Technology, Inc.","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/gsit"
