symbol,date,period,CashEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivableTradeNet,ReceivablesOther,TotalReceivablesNet,TotalInventory,PrepaidExpenses,OtherCurrentAssetsTotal,TotalCurrentAssets,PropertyPlantEquipmentTotalGross,AccumulatedDepreciationTotal,GoodwillNet,IntangiblesNet,LongTermInvestments,OtherLongTermAssetsTotal,TotalAssets,AccountsPayable,AccruedExpenses,NotesPayableShortTermDebt,CurrentPortofLTDebtCapitalLeases,OtherCurrentliabilitiesTotal,TotalCurrentLiabilities,LongTermDebt,CapitalLeaseObligations,TotalLongTermDebt,TotalDebt,DeferredIncomeTax,MinorityInterest,OtherLiabilitiesTotal,TotalLiabilities,RedeemablePreferredStockTotal,PreferredStockNonRedeemableNet,CommonStockTotal,AdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,TreasuryStockCommon,OtherEquityTotal,TotalEquity,TotalLiabilitiesShareholdersEquity,SharesOutsCommonStockPrimaryIssue,TotalCommonSharesOutstanding
CLCD,2015-09-30,As of,36.02,33.15,69.17,NA,NA,NA,NA,1.53,NA,70.70,NA,NA,NA,NA,4.93,0.02,75.65,2.63,3.00,0.00,NA,NA,5.63,NA,NA,0.00,0.00,NA,NA,1.50,7.13,0.00,NA,0.02,144.38,-75.87,NA,-0.01,68.52,75.65,NA,15.15
CLCD,2015-12-31,As of,27.98,36.53,64.51,NA,NA,NA,NA,0.81,NA,65.32,NA,NA,NA,NA,NA,0.02,65.34,1.65,3.65,0.00,NA,0.13,5.43,NA,NA,0.00,0.00,NA,NA,1.50,6.93,0.00,NA,0.02,145.53,-87.10,NA,-0.04,58.41,65.34,NA,15.27
CLCD,2014-12-31,As of,0.20,NA,0.20,NA,NA,NA,NA,0.02,NA,0.23,NA,NA,NA,NA,NA,0.07,0.29,0.31,0.08,0.20,NA,NA,0.58,NA,NA,0.00,0.20,NA,NA,1.50,2.08,50.28,NA,0.00,2.41,-54.48,NA,NA,-1.79,0.29,NA,15.00
CLCD,2013-12-31,As of,0.33,NA,0.33,NA,NA,NA,NA,0.00,NA,0.33,NA,NA,NA,NA,NA,0.00,0.33,0.05,1.56,8.62,NA,NA,10.24,NA,NA,0.00,8.62,NA,NA,0.00,10.24,40.27,NA,0.00,1.35,-51.53,NA,NA,-9.91,0.33,NA,15.00
CLCT,2016-09-30,As of,10.34,NA,10.34,3.46,NA,3.46,2.07,1.22,NA,17.10,12.12,-9.10,2.08,1.73,NA,2.60,26.54,2.69,4.87,0.00,NA,4.81,12.36,NA,NA,0.00,0.00,NA,NA,0.46,12.82,0.00,NA,0.01,80.74,-67.04,NA,NA,13.71,26.54,NA,8.90
CLCT,2016-06-30,As of,11.97,NA,11.97,3.88,NA,3.88,1.83,1.27,NA,18.96,11.68,-8.84,2.08,1.76,NA,2.55,28.19,2.73,5.91,0.00,NA,3.96,12.60,NA,NA,0.00,0.00,NA,NA,0.60,13.20,0.00,NA,0.01,80.64,-65.66,NA,NA,14.99,28.19,NA,8.90
CLCT,2016-03-31,As of,12.58,NA,12.58,3.62,NA,3.62,1.83,1.25,1.60,20.89,11.36,-8.59,2.08,1.79,NA,2.29,29.83,2.51,4.96,0.00,NA,5.88,13.35,NA,NA,0.00,0.00,NA,NA,0.74,14.09,0.00,NA,0.01,80.30,-64.56,NA,NA,15.74,29.83,NA,8.90
CLCT,2015-12-31,As of,12.79,NA,12.79,2.09,NA,2.09,1.76,0.99,1.60,19.24,10.98,-8.32,2.08,1.71,NA,2.40,28.09,1.82,5.14,0.00,NA,4.51,11.47,NA,NA,0.00,0.00,NA,NA,0.83,12.31,0.00,NA,0.01,80.14,-64.37,NA,NA,15.78,28.09,NA,8.90
CLCT,2015-09-30,As of,14.66,NA,14.66,2.64,NA,2.64,1.78,0.93,1.60,21.61,10.52,-8.23,2.08,1.67,NA,2.47,30.12,2.22,4.63,0.00,NA,4.69,11.55,NA,NA,0.00,0.00,NA,NA,0.95,12.50,0.00,NA,0.01,80.00,-62.38,NA,NA,17.62,30.12,NA,8.88
CLCT,2016-06-30,As of,11.97,NA,11.97,3.88,NA,3.88,1.83,1.27,NA,18.96,11.68,-8.84,2.08,1.76,NA,2.55,28.19,2.73,5.91,0.00,NA,3.96,12.60,NA,NA,0.00,0.00,NA,NA,0.60,13.20,0.00,NA,0.01,80.64,-65.66,NA,NA,14.99,28.19,NA,8.90
CLCT,2015-06-30,As of,17.25,NA,17.25,2.46,NA,2.46,1.62,0.94,NA,22.27,10.33,-8.01,2.08,1.56,NA,3.96,32.20,1.96,6.79,0.00,NA,3.92,12.67,NA,NA,0.00,0.00,NA,NA,1.06,13.73,0.00,NA,0.01,79.85,-61.39,NA,NA,18.47,32.20,NA,8.88
CLCT,2014-06-30,As of,19.91,NA,19.91,2.12,NA,2.12,1.89,1.37,1.72,27.00,9.70,-7.23,2.08,1.27,NA,2.77,35.59,2.06,6.96,0.00,NA,4.34,13.36,NA,NA,0.00,0.00,NA,NA,1.58,14.95,0.00,NA,0.01,78.01,-57.38,NA,NA,20.64,35.59,NA,8.86
CLCT,2013-06-30,As of,18.71,NA,18.71,2.07,NA,2.07,1.66,0.96,1.33,24.73,8.65,-6.50,2.08,1.48,NA,2.58,33.02,1.61,4.80,0.00,NA,3.91,10.32,NA,NA,0.00,0.00,NA,NA,2.14,12.46,0.00,NA,0.01,74.58,-54.02,NA,NA,20.56,33.02,NA,8.51
CLD,2016-09-30,As of,90.30,NA,90.30,43.43,NA,43.43,73.00,17.80,2.09,226.61,NA,NA,2.28,NA,NA,58.56,1726.92,26.34,42.95,0.00,NA,71.30,140.58,492.31,NA,492.31,492.31,NA,NA,166.71,799.61,NA,NA,0.61,580.28,329.17,-6.50,23.74,927.31,1726.92,NA,61.46
CLD,2016-06-30,As of,64.13,NA,64.13,35.59,NA,35.59,74.82,21.52,4.26,200.32,NA,NA,2.28,NA,NA,59.98,1706.54,23.49,36.22,0.00,NA,73.08,132.79,491.92,NA,491.92,491.92,NA,NA,152.24,776.95,NA,NA,0.61,578.27,330.76,-6.50,26.45,929.60,1706.54,NA,61.32
CLD,2016-03-31,As of,79.39,NA,79.39,32.71,NA,32.71,75.29,24.84,6.54,218.78,NA,NA,2.28,NA,NA,62.61,1757.86,26.92,47.99,0.00,NA,68.11,143.02,491.54,NA,491.54,491.54,NA,NA,270.63,905.19,NA,NA,0.61,576.64,295.47,-6.50,-13.56,852.66,1757.86,NA,61.26
CLD,2015-12-31,As of,89.31,NA,89.31,43.41,NA,43.41,76.76,34.60,0.10,244.19,NA,NA,2.28,0.00,NA,67.32,1802.16,44.38,42.32,0.00,0.00,76.19,162.89,491.16,NA,491.16,491.16,NA,NA,260.23,914.28,NA,NA,0.61,574.87,331.84,-6.50,-12.95,887.88,1802.16,NA,61.17
CLD,2015-09-30,As of,123.52,NA,123.52,66.18,NA,66.18,75.50,9.39,45.60,320.19,NA,NA,2.28,51.00,NA,110.46,1998.68,54.19,45.99,0.00,0.00,127.94,228.12,490.79,NA,490.79,490.79,NA,NA,235.56,954.47,NA,NA,0.61,572.76,488.04,-6.49,-10.71,1044.21,1998.68,NA,61.17
